Intent,User Example,Bot Response,Unnamed: 3
greeting,Hi there!,Hello! I'm your IEEE BUE Student Branch Assistant. How can I help you today?,
greeting,Hello!,Hi there! 👋 I'm here to help with anything about IEEE at BUE.,
greeting,Hey IEEE team,Hey! 👋 I'm here to help with anything about IEEE BUE.,
greeting,Good morning,Good morning! How can I support you with IEEE BUE today?,
ask_membership,How can I join IEEE BUE?,"Interested in joining IEEE? You can get started by visiting https://www.ieee.org/ and creating a new account. Need help? Here's a quick tutorial: https://youtu.be/yW_AIlGZ6wQ?si=aV6Pf5DXLQvM6B9_ Once you've completed your registration, please contact our Head of HR, Eng. Abdelrahman Mohamed, at 01033701628 to get registered in our branch.",
ask_membership,Can I become a member of IEEE BUE?,"You can find us during Recruitment Week at BUE Campus, held in Week 3 and Week 4 of Semester 1. Or, you can get started right away by visiting 🔗 https://www.ieee.org/ and creating a new account. 📹 Need help? Watch this quick tutorial: https://youtu.be/yW_AIlGZ6wQ?si=aV6Pf5DXLQvM6B9_ Once you've completed your registration, please contact our Head of HR, Eng. Abdelrahman Mohamed, at 01033701628 to get registered in our branch.",
ask_membership,Where do I sign up for IEEE?,"You can find us during Recruitment Week at BUE Campus, held in Week 3 and Week 4 of Semester 1. Or, you can get started right away by visiting 🔗 https://www.ieee.org/ and creating a new account. 📹 Need help? Watch this quick tutorial: https://youtu.be/yW_AIlGZ6wQ?si=aV6Pf5DXLQvM6B9_ Once you've completed your registration, please contact our Head of HR, Eng. Abdelrahman Mohamed, at 01033701628 to get registered in our branch.",
ask_membership,How to register for IEEE BUE?,"Interested in joining IEEE? You can get started by visiting https://www.ieee.org/ and creating a new account. Need help? Here's a quick tutorial: https://youtu.be/yW_AIlGZ6wQ?si=aV6Pf5DXLQvM6B9_ Once you've completed your registration, please contact our Head of HR, Eng. Abdelrahman Mohamed, at 01033701628 to get registered in our branch.",
ask_sensors_membership,How do I join the Sensors Council?,"The Sensors Council is open to all passionate students! Make sure to follow us on social media to stay updated: Facebook:https://web.facebook.com/bue.ieee.sc/?_rdc=1&_rdr#, Instagram: https://www.instagram.com/bue.ieee.sc, LinkedIn: https://www.linkedin.com/showcase/ieee-bue-sensors-council-student-branch. If you'd like to join, make sure you are an IEEE full member to enjoy maximum benefits. However, you can still join as an associate member completely free. For more details, contact our Chairman Eng. Omar Elmahy at 01220714412.",
ask_sensors_membership,I want to join the Sensors Council,"The Sensors Council is open to all passionate students! Make sure to follow us on social media to stay updated: Facebook: https://web.facebook.com/bue.ieee.sc/?_rdc=1&_rdr#, Instagram: https://www.instagram.com/bue.ieee.sc, LinkedIn: https://www.linkedin.com/showcase/ieee-bue-sensors-council-student-branch. If you'd like to join, make sure you are an IEEE full member to enjoy maximum benefits. However, you can still join as an associate member completely free. For more details, contact our Chairman Eng. Omar Elmahy at 01220714412.",
ask_sensors_membership,How do I become part of the Sensors Council?,Yes! We welcome all sensor enthusiasts. DM us @bue.ieee.sc to know more.,
ask_sensors_membership,Can I be part of the Sensors team?,Yes! We welcome all sensor enthusiasts. DM us @bue.ieee.sc to know more.,
ask_events,What was your last AI workshop?,"We recently hosted AI sessions covering supervised & unsupervised learning, GANs, LLMs, and reinforcement learning!",
ask_events,Tell me about your last tech workshop,"Our latest was a deep dive into AI topics like LLMs, GANs, and RL.",
ask_events,What was the recent AI event?,"We held workshops on supervised learning, transformers, and hands-on coding.",
ask_events,Recent IEEE BUE workshop topics?,We recently covered cutting-edge topics in AI and machine learning.,
ask_events,Are there any events coming soon?,"Follow us on Instagram @bue.ieee for all event announcements, workshops, and competitions!",
